invoice_id,service_id,billing_month,invoice_date,plan_charge_aud,excess_usage_aud,discount_aud,total_amount_aud,payment_status,days_late
348,39,2024-02-01,2024-02-05,59.0,0.0,9.18,49.82,Paid,0
349,39,2024-03-01,2024-03-05,59.0,13.76,0.65,72.11,Paid,17
350,39,2024-04-01,2024-04-05,59.0,0.0,0.98,58.02,Late,0
351,39,2024-05-01,2024-05-05,59.0,8.67,7.21,60.46,Paid,17
352,39,2024-06-01,2024-06-05,59.0,0.0,1.64,57.36,Paid,0
353,39,2024-07-01,2024-07-05,59.0,3.16,7.87,54.29,Paid,3
354,39,2024-08-01,2024-08-05,59.0,0.0,8.2,50.8,Paid,17
355,39,2024-09-01,2024-09-05,59.0,0.0,2.64,56.36,Paid,3
356,39,2024-10-01,2024-10-05,59.0,0.66,8.86,50.8,Paid,8
357,39,2024-11-01,2024-11-05,59.0,3.48,3.3,59.18,Paid,0
358,39,2024-12-01,2024-12-05,59.0,6.65,3.62,62.03,Paid,0
359,39,2025-01-01,2025-01-05,59.0,4.58,12.8,50.78,Paid,0
360,39,2025-02-01,2025-02-05,59.0,0.0,4.29,54.71,Paid,17
361,39,2025-03-01,2025-03-05,59.0,0.0,4.59,54.41,Paid,8
362,39,2025-04-01,2025-04-05,59.0,0.0,10.83,48.17,Paid,17
363,39,2025-05-01,2025-05-05,59.0,4.72,14.1,49.62,Paid,0
364,39,2025-06-01,2025-06-05,59.0,6.47,5.59,59.88,Late,31
365,42,2024-01-01,2024-01-05,79.0,7.95,0.0,86.95,Late,31
366,42,2024-02-01,2024-02-05,79.0,0.0,12.3,66.7,Late,0
367,42,2024-03-01,2024-03-05,79.0,0.0,0.87,78.13,Paid,17
368,42,2024-04-01,2024-04-05,79.0,0.0,1.32,77.68,Late,0
369,42,2024-05-01,2024-05-05,79.0,14.7,13.6,80.1,Unpaid,17
370,42,2024-06-01,2024-06-05,79.0,4.43,14.05,69.38,Paid,8
371,42,2024-07-01,2024-07-05,79.0,0.0,2.63,76.37,Late,0
372,42,2024-08-01,2024-08-05,79.0,6.06,3.08,81.98,Late,31
373,42,2024-09-01,2024-09-05,79.0,5.18,11.43,72.75,Paid,3
374,42,2024-10-01,2024-10-05,79.0,0.0,3.96,75.04,Paid,0
375,42,2024-11-01,2024-11-05,79.0,9.92,4.41,84.51,Paid,3
376,42,2024-12-01,2024-12-05,79.0,3.41,4.85,77.56,Paid,3
377,42,2025-01-01,2025-01-05,79.0,0.0,5.3,73.7,Paid,0
378,42,2025-02-01,2025-02-05,79.0,0.9,5.74,74.16,Paid,8
379,42,2025-03-01,2025-03-05,79.0,0.0,6.15,72.85,Paid,0
380,42,2025-04-01,2025-04-05,79.0,1.69,6.6,74.09,Paid,0
381,42,2025-05-01,2025-05-05,79.0,0.0,18.88,60.12,Paid,17
382,42,2025-06-01,2025-06-05,79.0,7.38,7.48,78.9,Paid,0
383,43,2024-01-01,2024-01-05,79.0,0.0,0.0,79.0,Paid,8
384,43,2024-02-01,2024-02-05,79.0,1.29,0.45,79.84,Unpaid,0
385,43,2024-03-01,2024-03-05,79.0,0.0,0.87,78.13,Paid,0
386,43,2024-04-01,2024-04-05,79.0,0.0,1.32,77.68,Paid,8
387,43,2024-05-01,2024-05-05,79.0,0.0,1.75,77.25,Paid,0
388,43,2024-06-01,2024-06-05,79.0,0.0,2.2,76.8,Paid,0
389,43,2024-07-01,2024-07-05,79.0,0.0,14.48,64.52,Paid,31
390,43,2024-08-01,2024-08-05,79.0,7.52,10.98,75.54,Late,3
391,43,2024-09-01,2024-09-05,79.0,0.0,15.38,63.62,Paid,31
392,43,2024-10-01,2024-10-05,79.0,0.0,3.96,75.04,Late,0
393,43,2024-11-01,2024-11-05,79.0,0.0,16.26,62.74,Paid,0
394,43,2024-12-01,2024-12-05,79.0,6.52,4.85,80.67,Paid,17
395,43,2025-01-01,2025-01-05,79.0,0.42,17.15,62.27,Paid,0
396,44,2024-01-01,2024-01-05,59.0,0.0,0.0,59.0,Paid,0
397,44,2024-02-01,2024-02-05,59.0,10.17,9.18,59.99,Paid,31
398,44,2024-03-01,2024-03-05,59.0,0.0,0.65,58.35,Paid,8
399,44,2024-04-01,2024-04-05,59.0,4.22,6.88,56.34,Paid,31
400,44,2024-05-01,2024-05-05,59.0,1.81,1.31,59.5,Late,0
401,44,2024-06-01,2024-06-05,59.0,0.0,7.54,51.46,Paid,8
402,44,2024-07-01,2024-07-05,59.0,0.0,1.97,57.03,Paid,0
403,44,2024-08-01,2024-08-05,59.0,3.38,8.2,54.18,Late,0
404,44,2024-09-01,2024-09-05,59.0,0.0,2.64,56.36,Paid,0
405,45,2024-01-01,2024-01-05,49.0,0.0,7.35,41.65,Paid,0
406,45,2024-02-01,2024-02-05,49.0,1.54,0.28,50.26,Paid,0
407,45,2024-03-01,2024-03-05,49.0,5.86,0.54,54.32,Paid,0
408,45,2024-04-01,2024-04-05,49.0,1.72,0.82,49.9,Paid,0
409,45,2024-05-01,2024-05-05,49.0,0.0,5.99,43.01,Paid,31
410,45,2024-06-01,2024-06-05,49.0,6.92,8.71,47.21,Paid,8
411,45,2024-07-01,2024-07-05,49.0,3.0,1.63,50.37,Paid,31
412,45,2024-08-01,2024-08-05,49.0,0.0,1.91,47.09,Paid,0
413,45,2024-09-01,2024-09-05,49.0,3.12,2.19,49.93,Paid,8
414,47,2024-01-01,2024-01-05,49.0,0.0,4.9,44.1,Unpaid,0
415,47,2024-02-01,2024-02-05,49.0,0.0,0.28,48.72,Paid,8
416,47,2024-03-01,2024-03-05,49.0,2.25,0.54,50.71,Paid,0
417,47,2024-04-01,2024-04-05,49.0,0.13,5.72,43.41,Paid,17
418,47,2024-05-01,2024-05-05,49.0,0.0,1.09,47.91,Paid,0
419,47,2024-06-01,2024-06-05,49.0,0.0,6.26,42.74,Paid,0
420,47,2024-07-01,2024-07-05,49.0,0.0,1.63,47.37,Paid,31
421,47,2024-08-01,2024-08-05,49.0,0.0,1.91,47.09,Paid,0
422,47,2024-09-01,2024-09-05,49.0,0.0,2.19,46.81,Paid,17
423,47,2024-10-01,2024-10-05,49.0,0.0,2.46,46.54,Paid,0
424,47,2024-11-01,2024-11-05,49.0,1.79,2.74,48.05,Paid,0
425,47,2024-12-01,2024-12-05,49.0,3.48,10.36,42.12,Paid,0
426,47,2025-01-01,2025-01-05,49.0,3.45,8.18,44.27,Paid,0
427,47,2025-02-01,2025-02-05,49.0,0.0,3.56,45.44,Late,8
428,47,2025-03-01,2025-03-05,49.0,0.0,3.81,45.19,Paid,0
429,47,2025-04-01,2025-04-05,49.0,0.0,4.09,44.91,Paid,0
430,47,2025-05-01,2025-05-05,49.0,2.52,4.36,47.16,Paid,0
431,47,2025-06-01,2025-06-05,49.0,0.0,4.64,44.36,Paid,17
432,48,2024-01-01,2024-01-05,39.0,0.0,3.9,35.1,Paid,8
433,48,2024-02-01,2024-02-05,39.0,1.89,4.12,36.77,Paid,17
434,48,2024-03-01,2024-03-05,39.0,0.0,4.33,34.67,Paid,17
435,48,2024-04-01,2024-04-05,39.0,4.27,0.65,42.62,Paid,0
436,48,2024-05-01,2024-05-05,39.0,7.27,0.86,45.41,Paid,3
437,48,2024-06-01,2024-06-05,39.0,1.42,6.94,33.48,Paid,0
438,48,2024-07-01,2024-07-05,39.0,0.0,5.2,33.8,Paid,0
439,48,2024-08-01,2024-08-05,39.0,0.0,7.37,31.63,Paid,8
440,48,2024-09-01,2024-09-05,39.0,2.02,5.64,35.38,Late,8
441,48,2024-10-01,2024-10-05,39.0,2.45,7.81,33.64,Paid,0
442,49,2024-01-01,2024-01-05,39.0,0.0,5.85,33.15,Unpaid,3
443,49,2024-02-01,2024-02-05,39.0,2.37,0.22,41.15,Paid,8
444,49,2024-03-01,2024-03-05,39.0,0.0,0.43,38.57,Unpaid,0
445,49,2024-04-01,2024-04-05,39.0,0.0,4.55,34.45,Paid,8
446,49,2024-05-01,2024-05-05,39.0,0.0,0.86,38.14,Paid,17
447,49,2024-06-01,2024-06-05,39.0,12.53,1.09,50.44,Paid,0
448,49,2024-07-01,2024-07-05,39.0,2.79,1.3,40.49,Paid,31
449,49,2024-08-01,2024-08-05,39.0,4.13,1.52,41.61,Paid,8
450,49,2024-09-01,2024-09-05,39.0,0.0,1.74,37.26,Late,8
451,49,2024-10-01,2024-10-05,39.0,6.66,7.81,37.85,Paid,0
452,49,2024-11-01,2024-11-05,39.0,0.0,6.08,32.92,Unpaid,0
453,49,2024-12-01,2024-12-05,39.0,5.77,8.24,36.53,Paid,0
454,49,2025-01-01,2025-01-05,39.0,8.76,8.46,39.3,Paid,31
455,49,2025-02-01,2025-02-05,39.0,0.0,8.69,30.31,Unpaid,31
456,49,2025-03-01,2025-03-05,39.0,0.0,3.04,35.96,Paid,0
457,49,2025-04-01,2025-04-05,39.0,0.0,3.26,35.74,Paid,0
458,49,2025-05-01,2025-05-05,39.0,0.0,3.47,35.53,Late,3
459,49,2025-06-01,2025-06-05,39.0,0.0,7.59,31.41,Late,0
460,51,2024-01-01,2024-01-05,49.0,1.81,4.9,45.91,Unpaid,17
461,51,2024-02-01,2024-02-05,49.0,0.0,0.28,48.72,Paid,0
462,51,2024-03-01,2024-03-05,49.0,4.06,0.54,52.52,Paid,31
463,51,2024-04-01,2024-04-05,49.0,0.0,8.17,40.83,Paid,0
464,51,2024-05-01,2024-05-05,49.0,0.0,1.09,47.91,Paid,0
465,51,2024-06-01,2024-06-05,49.0,0.0,1.36,47.64,Paid,0
466,51,2024-07-01,2024-07-05,49.0,2.06,1.63,49.43,Paid,3
467,51,2024-08-01,2024-08-05,49.0,0.0,1.91,47.09,Paid,8
468,51,2024-09-01,2024-09-05,49.0,1.72,2.19,48.53,Paid,0
469,51,2024-10-01,2024-10-05,49.0,9.05,2.46,55.59,Paid,31
470,51,2024-11-01,2024-11-05,49.0,0.0,2.74,46.26,Paid,8
471,51,2024-12-01,2024-12-05,49.0,5.38,3.01,51.37,Paid,0
472,51,2025-01-01,2025-01-05,49.0,0.0,3.28,45.72,Paid,0
